Canal,Total_de_visualizacoes
"Симбочка Пимпочка",7757872
Mastu,7747916
めざましテレビチャンネル,7743646
NichLmao,7739331
"hasan and nour shorts",7702155
小凉夫妇,7636728
"Perfect Elephant Movie",7588423
Vaundy,7574543
ExileShow,7554286
PewDiePie,7434916
"Кик Брейнс",7426270
"Buzzy Bug Arabic",7423681
"МАШ МИЛАШ",7383186
"beIN SPORTS France",7297229
令和の虎CHANNEL,7291621
苏馨呀,7270022
"20th Century Studios",7182639
"Hasan Minhaj",7180014
"L'étoile Noire",7144638
"CTV News",7137570
Mrwhosetheboss,7137291
BRAVO!,7078301
VIVINOS,7076495
"DAZN Boxing",7057493
"J. Cole",7045724
UFC,7020697
"Дима Масленников  ",7019431
"AFC Asian Cup",6985212
"KINDNESS MAN",6979643
"Rooster Time",6926294
"Mob Entertainment",6909893
"Slime Cat",6905338
Vogue,6858411
"Netflix Brasil",6835312
Haminations,6832013
Markiplier,6825002
"Walt Disney Studios BR",6723664
"Саша Квашеная",6719600
"JOON Arabic",6711132
BMSG,6704498
"Mat Armstrong MK2",6702240
jacksepticeye,6666162
"Tips Workshop",6630194
Disney,6594203
"HAUS PLANS™️",6573383
"Quenlin Blackwell",6565084
"Тайна ММА",6563036
JOYCA,6552857
"Wanitwa Mos Entertainment",6532382
Minecraft,6529831
ЕГОРИК,6489882
"BLESSD EL BENDITO 💙",6474893
"ПРЕМИЯ ДАРВИНА",6453236
"The AFC Hub",6399889
Kis-My-Ft2,6398078
AMP,6389285
A24,6386760
"FaZe Rug",6378062
"Alexey Arestovych",6331996
MBSアニメ&ドラマ,6264009
搞笑瑞姐,6195871
"AKIpress news",6122729
supershigi,6101869
"Alan Roblox",6055474
"Major League Soccer",6036435
"Grupo Menos é Mais",6021714
"Practical Engineering",6018453
"МЯТНАЯ ФАНТА",6006206
"МИНУС БАЛЛ",6002645
"Manu Bahtidão",5961045
"GAZO OFFICIEL",5916895
Star TV,5911573
Inoxtag,5889060
"プロジェクトセカイ カラフルステージ! feat. 初音ミク",5862818
"Suisei Channel",5850282
albert_cancook,5800192
Grian,5790035
"Hades 66",5769474
PINK,5766711
"Green Thumb",5740413
WOWOWサッカーofficial,5730529
"GR6 EXPLODE",5696248
DO$HIK,5678316
TateMcRaeVEVO,5649456
Archie5,5625281
"FOX Sports",5621580
"WWE on USA",5608604
Nattan,5606380
IVE,5572239
"Nintendo of America",5569961
"Yailin La Mas Viral",5565688
"Hay Day",5535013
"Wicked Movie",5526548
"FOX Soccer",5521551
"Murilo Huff",5513292
"佐久間宣行のNOBROCK TV",5462456
i_roblox_queen,5444156
"BO BROWN",5403016
Footasylum,5400144
Pixar,5397105
吃饭要紧,5385916
ばんばんざい,5377541
"5-Minute Crafts HOUSE",5353719
"World Rugby",5350272
"Drew Gooden",5331133
"Will Tennyson",5316507
Miniminter,5307900
DaVinciMovie,5292860
Donut,5288050
"Science Time",5275663
Gunna,5259259
КЕРЯ,5224352
"Marques Brownlee",5199950
"Prime Video",5174203
LilBabyVEVO,5150831
"Serie A",5146711
"Eric Land",5141789
"Renato Cariani",5141283
"Inspired By Jesus",5130749
"Outdoor Boys",5114073
Бискас,5112520
"Judo Sloth Gaming",5082893
ChrisMD,5061819
"Amazing Children Toys",5029944
HopeScope,5026483
"NPR Music",5010470
Tavarish,4999557
"Maes officiel",4993953
"KAWAII LAB.",4981720
"That Little Puff",4980247
Dream,4974739
四小只吖,4968155
"Universal Pictures Brasil",4940720
"MC Tuto",4938266
"The Grand Tour",4922637
"Safiya Nygaard",4921978
"Domer Grief",4914970
"NEN FAM",4892039
"Двое играют | Наташа и Вова",4880595
"U-NEXT フットボール",4877645
"The Deal Guy",4866956
Michou,4860001
"Giggle Jiggle! Arabic",4853318
TheBrianMaps,4812116
キヨ。,4796012
Lachlan,4793351
日清食品グループ公式チャンネル,4767422
"Snack Chat",4763772
"Felipe Araújo",4760527
"Juice WRLD",4758652
BradyYourTutor,4757786
"Games EduUu",4754261
おろちんゆー,4746104
вДудь,4738956
Deji,4699764
M-1グランプリ,4692764
"Supercar Blondie",4692374
"MILLENNIUM PARADE Official YouTube Channel",4683778
Signature_1m,4654903
"Cris MJ",4648817
"Liverpool FC",4638429
亀梨和也,4596342
"LIL UZI VERT",4582559
"Zenless Zone Zero",4579985
"SBT Sports",4579356
"Kai Trump",4569907
"JJ Olatunji",4568978
PrestonPlayz,4567102
"ОВР Шоу",4566861
"Гараж 54",4565541
"Dubrovsky Play",4549263
thelonelyisland,4548243
"Лайки Like",4546863
"CFB ON FOX",4525683
MDKTRIO,4521629
"The Times and The Sunday Times",4518305
Zakirovlar_Oilasi,4500802
"Sobre Funk",4498062
モンスト（モンスターストライク）公式,4497063
"Jorge & Mateus Oficial",4493517
"Jasiel Nuñez",4482495
"Nidal Wonder",4478643
"Windies Cricket",4478099
"Creepy Nuts",4472189
"Honkai: Star Rail",4467272
Ludwig,4457743
Время-вперёд!,4457724
Téléfoot,4440778
"FUERZA REGIDA",4439010
AcademeG,4438126
ぎし家だけです,4430913
"はじめしゃちょー2 (hajime)",4426178
"Luan Pereira LP",4412723
StateHuman,4391978
"Jorge Rivera-Herrans - Topic",4391760
"Autumn Nations Series",4388922
"Irmãs Pina",4374083
"Сам себе сушист",4359264
WizkidVEVO,4355963
"Rafa & Luiz",4351334
"Паша Осадчий",4331856
BillieEilishVEVO,4331794
"BE:FIRST Official",4293570
TMSアニメ公式チャンネル【アニメ制作60周年】,4265463
"Cat Story",4248432
"SKITS Indonesian",4247189
pierson,4234685
"YoungBoy Never Broke Again",4228162
"UFC Brasil",4214488
vanzai,4187367
Ninho,4186958
希空ちゃんネル,4182731
HeavyDSparks,4177476
"Bryson DeChambeau",4176991
"Simone Mendes",4173260
ChroNoiR,4159469
"にゅうちゅうぶ | NEWS official",4135075
"Gamer Robot",4082253
"ESPN FC",4080364
小童童成长记,4058148
"NBA Rakuten",4036724
"Nintendo 公式チャンネル",4036070
Levsob,4009508
"Scotland National Team",3998140
DECO*27,3982078
"Bulkin Drive",3976464
"Mariah Carey",3971125
"Денис Кукояка",3969521
辻ちゃんネル,3931591
"Jake Paul",3921094
KiKiDo,3911749
"DEATH BATTLE!",3910830
Anastasiz,3906534
庭づくり大好きおじさん,3887239
"Kenshi Yonezu  米津玄師",3879773
VAVAN,3875619
Kanaria,3875031
PlayOverwatch,3873762
Max,3873483
"Guinness World Records",3861731
Tonigon,3842024
Lampal,3841172
"Let's Game It Out",3834771
"Studio Bagel",3829725
"Morley Kert",3817032
Послезавтра,3813668
"Station Service",3808037
IS:SUE,3802415
JRA公式チャンネル,3772294
"Standoff 2 Live",3755031
東映アニメーション公式YouTubeチャンネル,3743875
"ボンソワールTV BonSoirTV",3743004
Mini-mimi,3740407
"Мастерская Синдиката",3729768
"アニプレックス チャンネル",3723837
"KBS WORLD TV",3708369
SuperCrastan,3701953
"CRAZY GREAPA",3700486
NileBlue,3696224
"Infinity Circus",3695536
"ARTEM WOLF",3692088
Subnautica,3682373
サツキ,3676515
"Телеканал Дождь",3670050
"Lumea La La Emoji",3669808
Bauers,3667658
ЯЯНА,3658844
ElAlfaElJefeTV,3653509
DamianoDavidVEVO,3649337
"Disney FR",3646686
"ONE PIECE公式YouTubeチャンネル",3638245
"Jack Harlow",3633533
"Red Bull USA",3631344
ProbIems,3630546
パラマウント・ピクチャーズ（日本版）,3622474
"The Ninja Fam!",3621964
"Schlatt & Co.",3614226
"しなこ Shinako / ASMR",3602900
"Gucci Mane",3582749
"Stranger Things",3576879
Océane,3572151
"Netflix Anime",3570457
"Creative Squad",3563402
Djilsi,3563375
Unspeakable,3550591
"Gordon Ramsay",3543460
"The Tonight Show Starring Jimmy Fallon",3536910
Qsport,3524825
"Star Wars",3522791
王后余生欢乐多,3508497
"Iguinho e Lulinha",3487189
ディズニー・スタジオ公式,3485530
"Filipe Ret",3475698
"Isaac Punts",3471428
"Daily Mail",3465703
"ESPN College Football",3444644
"HugoDécrypte - Grands formats",3429874
"Dani Flow",3425334
"Lauana Prado",3424193
"NOBRU VLOGS",3414219
Evbo,3410626
"FANTASTICS from EXILE TRIBE",3403086
"Niska Officiel",3398444
東海オンエアの控え室,3396312
MrRoflWaffles,3393983
Hungria,3391500
CNET,3385800
"Paramount+ Brasil",3378583
"Мама в 16",3376690
Lacrim,3375088
"Max Fosh",3350483
もちまる日記,3348152
"Joll and Conk",3331555
"Sonyakisa8 TT",3323844
dednahype,3323260
"Satozaki Channel",3309587
Hangtime,3307749
"Technology Connections",3305435
"(パーソル パ・リーグTV公式)PacificLeagueTV",3304302
"Lil Joyca",3294221
England,3288960
"ABS-CBN Entertainment",3286294
colinfurze,3280455
"Mrs. GREEN APPLE",3266461
Swar,3263417
"SQUEEZIE GAMING",3261889
BeardMeatsFood,3253149
Cadrol&Fatich,3247631
"СЛОВО ПАЦАНА",3234994
"FREEДOM. LIVE",3234743
"Robinson Foundry",3227270
"Unspeakable Studios",3215304
"Auto Focus",3214689
"Ice Cube / Cubevision",3213878
"The Weeknd - Topic",3208104
Feldup,3192970
"Domingo Espetacular",3185689
SlivkiShow,3182607
HikakinTV,3178833
"xkcd's What If?",3168471
ДЖАРАХОВ,3158969
"Westen Champlin",3140428
SunnyV2,3137462
"ずっと真夜中でいいのに。 ZUTOMAYO",3114585
Belinda,3104457
"Greg Guillotin",3098937
"The Game Theorists",3094662
"MDM Sketch Comedy",3093309
ВПИСКА,3091615
カラフルピーチ,3088979
木村拓哉,3074356
MUSSA,3068672
琴琴qin,3066959
"Vida Luminosa",3057618
"Charles & Mélanie",3055891
"Okko Спорт ",3054546
NDL,3054490
"Daily Funny Jokes",3043772
"Niko Ch. 虎金妃笑虎 - FLOW GLOW",3039497
"Sam Sulek",3019635
ElaTaubertVEVO,3003572
Ado,2995567
KATSEYE,2981397
"Dexter on Paramount+ with Showtime",2978884
"Vice Grip Garage",2965641
ConnorDawg,2962827
FutParódias,2953064
"How Ridiculous",2947271
Луномосик,2939145
"Руслан Усачев",2937055
"Black Gryph0n",2936671
"Growth TV",2934697
"Асхаб Тамаев",2934159
"Victoria's Secret",2926355
FNNプライムオンライン,2925849
"All Elite Wrestling",2921381
"The Anazala Family ",2920968
"LE GRAND JD",2914006
奋斗的阿龙,2912946
LDShadowLady,2902233
"Саид Диас",2882459
"Porta dos Fundos",2873899
Ospenarium,2871619
"Ninho - Topic",2867295
Coldplay,2860546
"Warner Bros. Pictures Brasil",2856487
SCH,2848737
"Tuna Tavus",2845079
"ROF-MAO / ろふまおチャンネル【にじさんじ】",2833694
西野未姫,2832492
LazarLazar,2826549
JxmyHighroller,2826456
"ВОТ ТАК NOW",2820682
"Aashirvad Cinemas",2819890
"ESPN Deportes",2817672
"Free Fire Esports Brasil #LBFF",2814254
"Axel Merryl",2811847
"JustParkers ",2811757
"IRIBABY WORLD",2807272
VideoFromSpace,2806627
"Nico Là",2804659
EdisonPts,2797120
"CouRage Gaming",2794054
"Xamdam Sobirov",2781902
Laufey,2780453
"Forge Labs",2780420
theneedledrop,2778004
SocksStudios,2777803
"Republic Records",2777628
"Non-Stop Film",2774839
超特急,2771349
SIDELNIKOVVV,2768823
"Matt Stonie",2758869
"三代目 J SOUL BROTHERS from EXILE TRIBE",2758075
"ВАСЯ НА СЕНЕ",2755115
"FD Vasya",2748375
Аришнев,2748242
"Everyday Astronaut",2741101
EFL,2740624
"Teamfight Tactics",2740394
"【公式】TBS スポーツ",2740036
"MC Jacaré",2739420
rezendeevil,2737625
RealLifeLore,2727669
Latto,2708462
とうあ,2702105
"Marcos e Belutti",2699999
ТОПЛЕС,2699444
ГЛЕНТ,2697844
"Dancing With The Stars",2697546
"Jimmy Kimmel Live",2689256
DougDoug,2687753
JuiceWRLDVEVO,2687014
"RybakAS. Fishing and Traveling",2679131
"Chino Pacas",2677289
"Lazy Lie Crazy【レイクレ】",2676385
月ノ美兎,2672316
"Skill Up",2662500
БУЛДЖАТь,2661317
"Rick Beato",2658057
AddisonRaeVEVO,2657284
"Bryton Myler",2656774
"ヨルシカ / n-buna Official",2644361
"Cavaleiros do Forró",2644342
"HugoDécrypte - Actus du jour",2631246
"RTVI Новости",2623473
"Kurtis Conner",2621762
"NBA on TNT",2620628
"Адвокат Егоров",2618871
"Yeat Music",2612912
SAIFOND,2601091
Sofyan,2598211
"Команда АП",2588083
boxtoxtv,2583967
开心baby,2583322
"Blacktail Studio",2578111
TommyInnit,2576960
阿薇爱搞笑666,2573136
"KAI Channel / 朝倉海",2567777
"Captain Shiraj",2566488
"Hornstromp Games",2552625
ТНТ,2544919
ARASHI,2543949
"Hardcore Fighting Championship",2542835
windy31,2535191
InCinematic,2534296
ColdFusion,2532816
JLaservideo,2532159
"twenty one pilots",2530614
"Телеканал ОНТ",2525753
Янчик,2522751
Mazizien,2516612
avex,2515972
DubstepGutter,2511711
"Alan Becker",2506693
"Smart Bushcraft",2498567
HARD_MMA,2497241
Jaguar,2483177
SummerWalkerVEVO,2477996
"Dimon Markov",2466377
"Dr. Plants",2462034
DRIVETRIBE,2455868
Yellowstone,2455624
"Александр Пушной",2454243
"МАША БЕЗ МЕДВЕДЯ",2453108
"Hey! Say! JUMP",2451955
Cyprien,2449835
"Combat Crew",2447786
"Família Maria Clara e JP",2438888
"Психолог Вероника Степанова",2435684
"Türkiye Futbol Federasyonu",2435049
"Corbucci Eats",2419026
"Werenoi - Topic",2416837
摩摩,2415579
"KTK TV",2413797
"極楽とんぼ山本圭壱 けいちょんチャンネル",2412472
SkinSpotlights,2411969
"朝倉未来 Mikuru Asakura",2400528
"TRUE GYM MMA",2397695
平成フラミンゴ,2397369
"БЕЗУМНЫЙ СПОРТ",2396940
こっちのけんと,2395322
"Sabadou com Virginia",2392707
GQ,2390936
"This is Хорошо",2386512
"Linus Tech Tips",2376325
"Micro TDH",2367602
"Lyrical Lemonade",2364253
"Dlala Thukzin",2361065
"Alphaville (official)",2354738
ゼンレスゾーンゼロ-ZZZ-公式,2354385
ララチューン【ラランド公式】,2346385
桜井政博のゲーム作るには,2341086
"CMA Country Music Association",2325734
TF1,2325326
EGO,2324011
dacooker_,2321335
Maghla,2317557
JFATV,2315051
CaylusBlox,2314777
Flashgitz,2313886
MollyMae,2313635
"Голос Америки",2304850
viniccius13,2304318
"京本大我 from ART-PUT",2298657
StarTalk,2296559
"DW на русском",2286502
oblomoff,2279371
なきそ,2278784
Bubble™,2278530
"Ной Анимация",2277829
"All Blacks",2276928
Adem&Bilal,2275361
"FKA twigs",2273038
Miracle,2269023
"Call of Duty",2267136
hankschannel,2265119
"HAYELI AM",2260463
"Morgan Wallen",2260075
ポケモン公式YouTubeチャンネル,2255054
フミカナ,2254442
"Neutro Shorty",2253949
rekrap2,2249137
"Yes Theory",2248107
あめんぼぷらす【日常コメディ】,2239617
"ZO'R TV",2237917
AlemanVEVO,2234893
"LeoJ Makeup",2229280
"W Sound",2219697
"AcademeG DailyStream",2219288
COLORS,2218681
"The Onion",2211749
"Hacksmith Industries",2209772
"CNN Brasil",2206558
GENEZIO,2189628
SolarBalls,2187811
Africori,2180177
Tyla,2176437
"Magic The Noah",2166993
CYRILmp4,2158879
"Dream Theater",2157091
"LOL Podcast ",2155955
"Snack Squad Arabic",2155918
"Кик Обзор",2154283
AntsCanada,2153331
Brancoala,2150151
中町綾チャンネル,2138197
"Pieds Carrés",2135375
"Fishing With Oh Dad!",2126552
コムドット,2125144
"Moriah Elizabeth",2122604
"エガちゃんねる EGA-CHANNEL",2116338
"Man Made",2114114
TODAY,2113370
"DJ FOY",2111201
"Baylen Levine",2105704
kevingatesTV,2103541
"ABEMA Prime #アベプラ【公式】",2103193
Taspio,2100056
KingBach,2096195
"ワーナー ブラザース 公式チャンネル",2093488
Fischer's-フィッシャーズ-,2093197
Dydoladow,2092461
"Caylus  ",2088777
"Lena Situations",2072904
Cartoloucos,2068066
FastGoodCuisine,2064758
"Ambition Strikes",2063567
"Le Parisien",2056398
"乃木坂46 OFFICIAL YouTube CHANNEL",2046016
"ХА ХА 3 РАЗА ",2043329
"Abroad in Japan",2038165
Dax,2032964
"ano official channel",2030740
"Magnus Midtbø",2027423
"POD DELAS",2022822
"Саша Туман",2019565
"Радио Свобода",2019218
LABELCOM,2017549
Tesla,2016680
"スポーツナビ 野球チャンネル",2011600
"it's Live",2010959
"Навальный LIVE",2008661
"RIZIN FIGHTING FEDERATION",2006332
Clarent,2006056
"Ozodlik Radiosi",2005934
"Renato Garcia YT",2002452
"Reza & Puja Khan",1999397
"NBA Extra - beIN SPORTS France",1998204
"Fame Focus",1997765
Rozetked,1997139
"Zen Emission",1996988
"Ligue 1 McDonald’s",1996252
/谷やん谷崎鷹人,1996147
"Travis Japan",1994449
"Сама Меньшова",1991466
"Good Mythical Morning",1991183
"Бионическая Россия",1977190
PineappleStormTV,1974088
"Rebecca Zamolo",1972351
FLAMBY,1971568
"КАРЕНА МАКАРЕНА",1971055
Trash,1969873
"Joshua Weissman",1968297
"Zamonavi Media",1963658
"SEC Shorts",1960309
大岳儿,1953777
"Edson e Hudson",1952893
べりたんで検索お願いします,1938225
Lapsa,1934902
"Kuzuha Channel",1934129
"lil boat",1933489
"Ed Sheeran",1931411
優里ちゃんねる【公式】,1929707
"Soolking Officiel",1929579
"Bailey Sarian",1924790
"Не шарю!",1924097
DougDougDoug,1921919
"No Life Shaq",1921267
Wavy,1920387
MOONTELLTHAT,1919555
"DAZN X Series",1919190
"erica ha",1917671
"フルタの方程式【古田敦也 公式チャンネル】",1916878
森ちゃんねる,1916326
"Zach Choi ASMR",1916049
arcsystemworks,1911773
"Genshin Impact",1911346
"Анатолий Шарий",1908202
"ВИОЛА 🐰",1905728
搞笑的海妹,1903900
CaseyNeistat,1895369
Mendrake,1894067
SEB,1892286
"hololive DEV_IS FLOW GLOW",1891139
"Stintik ",1886668
shane,1885963
"Felipe Amorim",1884517
Reversão,1878588
"Nene Ch.桃鈴ねね",1876015
"The Pat McAfee Show",1873889
"Code Bullet",1867480
Fixz,1867472
"Simon Puech",1863658
"GLIZZY GVNG INC",1862977
Файб,1861763
"Mail News",1860776
"Monster Hunter",1858672
"Aphmau Shuki",1856701
"Bibib Family",1856598
"Ryland vlogs",1854201
RebeuDeter,1852982
"Top Gear",1849229
"Marvel Brasil",1847442
MTV,1846908
Чердак,1843864
"Nicolas Gomes",1838241
Lazizashokuz,1835822
Codiciado,1834880
"Настоящее Время",1826570
"Prem Dhillon",1823063
L'ÉQUIPE,1821607
"Fritz Ramos",1820485
NakeyJakey,1816313
